DATE,Tankan
2019-08-01,-4.0
2019-09-01,-7.0
2019-10-01,-5.0
2019-11-01,-9.0
2019-12-01,-6.0
2020-01-01,-6.0
2020-02-01,-5.0
2020-03-01,-20.0
2020-04-01,-30.0
2020-05-01,-44.0
2020-06-01,-46.0
2020-07-01,-44.0
2020-08-01,-33.0
2020-09-01,-29.0
2020-10-01,-26.0
2020-11-01,-13.0
2020-12-01,-9.0
2021-01-01,-1.0
2021-02-01,3.0
2021-03-01,6.0
2021-04-01,13.0
2021-05-01,21.0
2021-06-01,22.0
2021-07-01,25.0
2021-08-01,33.0
2021-09-01,18.0
2021-10-01,16.0
2021-11-01,13.0
2021-12-01,22.0
2022-01-01,17.0
2022-02-01,6.0
2022-03-01,8.0
2022-04-01,11.0
2022-05-01,5.0
2022-06-01,9.0
2022-07-01,9.0
2022-08-01,13.0
